<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20201116,171000,120.612,120.76,120.55,120.565,654285,0
AAPL.US,5,20201116,171500,120.555,120.59,120.305,120.4,754838,0
AAPL.US,5,20201116,172000,120.398,120.59,120.35,120.58,608465,0
AAPL.US,5,20201116,172500,120.59,120.67,120.435,120.479,625108,0
AAPL.US,5,20201116,173000,120.47,120.55,120.38,120.445,655858,0
AAPL.US,5,20201116,173500,120.44,120.516,120.32,120.51,590468,0
AAPL.US,5,20201116,174000,120.51,120.53,120.405,120.48,461128,0
AAPL.US,5,20201116,174500,120.47,120.568,120.38,120.51,518738,0
AAPL.US,5,20201116,175000,120.51,120.79,120.48,120.78,729847,0
AAPL.US,5,20201116,175500,120.77,120.8,120.64,120.74,617602,0
AAPL.US,5,20201116,180000,120.745,120.92,120.73,120.83,877550,0
AAPL.US,5,20201116,180500,120.83,120.99,120.78,120.826,1029341,0
AAPL.US,5,20201116,181000,120.825,120.89,120.76,120.8,571633,0
AAPL.US,5,20201116,181500,120.79,120.82,120.63,120.71,568865,0
AAPL.US,5,20201116,182000,120.71,120.72,120.44,120.535,737307,0
AAPL.US,5,20201116,182500,120.53,120.675,120.525,120.65,487329,0
AAPL.US,5,20201116,183000,120.645,120.65,120.52,120.58,419025,0
AAPL.US,5,20201116,183500,120.585,120.67,120.54,120.641,348831,0
AAPL.US,5,20201116,184000,120.64,120.83,120.63,120.82,580748,0
AAPL.US,5,20201116,184500,120.82,120.821,120.57,120.635,509476,0
AAPL.US,5,20201116,185000,120.64,120.68,120.35,120.375,637996,0
AAPL.US,5,20201116,185500,120.38,120.47,120.28,120.44,760933,0
AAPL.US,5,20201116,190000,120.43,120.45,120.16,120.275,826210,0
AAPL.US,5,20201116,190500,120.28,120.57,120.26,120.5,615381,0
AAPL.US,5,20201116,191000,120.505,120.59,120.4,120.435,497087,0
AAPL.US,5,20201116,191500,120.44,120.58,120.37,120.55,440313,0
AAPL.US,5,20201116,192000,120.56,120.59,120.24,120.38,605369,0
AAPL.US,5,20201116,192500,120.38,120.38,120.15,120.18,585756,0
AAPL.US,5,20201116,193000,120.175,120.38,120.16,120.37,575811,0
AAPL.US,5,20201116,193500,120.37,120.43,120.291,120.34,488649,0
AAPL.US,5,20201116,194000,120.334,120.35,120,120.134,1044156,0
AAPL.US,5,20201116,194500,120.13,120.2,120.02,120.06,680027,0
AAPL.US,5,20201116,195000,120.07,120.17,120.03,120.145,366848,0
AAPL.US,5,20201116,195500,120.15,120.28,120.09,120.22,551720,0
AAPL.US,5,20201116,200000,120.22,120.25,120.051,120.14,491036,0
AAPL.US,5,20201116,200500,120.13,120.18,120.02,120.125,419237,0
AAPL.US,5,20201116,201000,120.124,120.22,120.04,120.214,471318,0
AAPL.US,5,20201116,201500,120.215,120.218,120.11,120.175,372087,0
AAPL.US,5,20201116,202000,120.175,120.365,120.14,120.36,551734,0
AAPL.US,5,20201116,202500,120.361,120.37,120.27,120.31,484177,0
AAPL.US,5,20201116,203000,120.312,120.32,120.07,120.08,614971,0
AAPL.US,5,20201116,203500,120.08,120.145,119.94,120.055,879348,0
AAPL.US,5,20201116,204000,120.058,120.058,119.905,119.95,733875,0
AAPL.US,5,20201116,204500,119.945,120.06,119.819,119.92,686314,0
AAPL.US,5,20201116,205000,119.915,119.993,119.79,119.869,670879,0
AAPL.US,5,20201116,205500,119.868,119.95,119.86,119.905,376597,0
AAPL.US,5,20201116,210000,119.908,120,119.64,119.64,1113774,0
AAPL.US,5,20201116,210500,119.65,119.809,119.644,119.79,738395,0
AAPL.US,5,20201116,211000,119.782,119.93,119.7,119.7,698317,0
AAPL.US,5,20201116,211500,119.7,119.93,119.67,119.87,563193,0
AAPL.US,5,20201116,212000,119.875,120.13,119.83,119.985,891760,0
AAPL.US,5,20201116,212500,119.985,120.07,119.78,119.923,756351,0
AAPL.US,5,20201116,213000,119.926,120.05,119.852,120,643332,0
AAPL.US,5,20201116,213500,120,120.07,119.91,119.96,580386,0
AAPL.US,5,20201116,214000,119.96,120.08,119.921,120.023,698276,0
AAPL.US,5,20201116,214500,120.025,120.1,119.95,119.95,736846,0
AAPL.US,5,20201116,215000,119.95,119.98,119.74,119.915,1151156,0
AAPL.US,5,20201116,215500,119.93,120.5,119.83,120.3,7590034,0
AAPL.US,5,20201117,153000,119.55,120.17,119.39,120.15,2971990,0
